model,target,val_rmse,val_mae,val_mape,val_r2,test_rmse,test_mae,test_mape,test_r2,cv_rmse_mean,cv_rmse_std,cv_mae_mean,cv_mae_std,cv_mape_mean,cv_mape_std,cv_r2_mean,cv_r2_std
ridge,nb_installations_pac,4.844671953795533,4.371564899455289,12.165468610031322,0.9998576910524796,9.182584277269575,8.694139705300708,14.076779498893638,0.9995824773524848,2.986102868534656,0.2800855126705355,1.5919241860363094,0.1620644210754737,13.812575575311266,1.954564843604564,0.9998027197689403,0.00011772660937616322
ridge_exogenes,nb_installations_pac,14.849991716578625,8.774806720151552,17.506922626175964,0.9986629246591877,23.082590842294884,11.682465486039888,14.754541552357761,0.9973617296383748,,,,,,,,
lightgbm,nb_installations_pac,65.86893309027046,18.084174565893576,10.284640851944456,0.9736934004035719,105.20900405646495,26.42434988811591,10.870571030068131,0.9451904784899624,71.26649754362238,76.12913727763329,27.425775358425387,27.233300206550634,25.773623348943612,5.019030504514334,0.884166570321677,0.15321990985039952
prophet,nb_installations_pac,187.413799613737,75.92141984588413,51.94283046329341,0.7870358075731849,221.7947736890205,96.31192631457955,55.954785544922835,0.7564137281578196,,,,,,,,
lstm,nb_installations_pac,381.1179279435697,143.74082946777344,93.11254620552063,0.11931180953979492,436.62226237332425,175.7036590576172,64.45364952087402,0.056021809577941895,,,,,,,,
